Data Source,World Development Indicators,,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Total fisheries production (metric tons),ER.FSH.PROD.MT,150,149.5,150,164.5,161.5,166.5,173.5,
Africa Eastern and Southern,AFE,Total fisheries production (metric tons),ER.FSH.PROD.MT,3792847.88,3897511.9,3883753.45,3821770.86,3805060.99,4097350.48,3725334.12,
Afghanistan,AFG,Total fisheries production (metric tons),ER.FSH.PROD.MT,8050,9000,10000,10729,11444,12907,13150,
Africa Western and Central,AFW,Total fisheries production (metric tons),ER.FSH.PROD.MT,3243503.98,3706566.44,3642143.61,3667626.7,3523165.88,3701624.19,3894655.4,
Angola,AGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,487145,532914,444858,401696,376515,531522,471672,
Albania,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,12612.09,12993.2,14906.3,15011.5,16711.16,18282.5,17551.5,
Andorra,AND,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Arab World,ARB,Total fisheries production (metric tons),ER.FSH.PROD.MT,4216636.79,4300806.83,4701188.86,4905436.74,4979224.23,5205588.83,5216473.19,
United Arab Emirates,ARE,Total fisheries production (metric tons),ER.FSH.PROD.MT,75971.9,78542,78845,75357,74435.78,70606.94,69034.96,
Argentina,ARG,Total fisheries production (metric tons),ER.FSH.PROD.MT,758899.48,838628.76,838592.31,828687.19,839673.99,856252.8,853774.74,
Armenia,ARM,Total fisheries production (metric tons),ER.FSH.PROD.MT,20139,17054,17369,18270,19100.01,19700,25000,
American Samoa,ASM,Total fisheries production (metric tons),ER.FSH.PROD.MT,2272.27,2337.88,2048.42,1454.78,886.17,1210.02,1329.13,
Antigua and Barbuda,ATG,Total fisheries production (metric tons),ER.FSH.PROD.MT,3185,3185,3185,3185,3135,3225,3250,
Australia,AUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,264180.41,249987.44,267244.82,257007.49,279170.58,289687.29,290289.75,
Austria,AUT,Total fisheries production (metric tons),ER.FSH.PROD.MT,3833.4,4211.9,4341.6,4605.04,4891.91,5270.39,5068.72,
Azerbaijan,AZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,1375,1660,2092,1708.4,2622,1971,2256,
Burundi,BDI,Total fisheries production (metric tons),ER.FSH.PROD.MT,22185,19439,20755,20867,20079,20090,20475,
Belgium,BEL,Total fisheries production (metric tons),ER.FSH.PROD.MT,27014,24724,23116,21436,20162.8,18160,18953,
Benin,BEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,54133,52852.66,60223.14,79377.35,77101.91,78765,80655,
Burkina Faso,BFA,Total fisheries production (metric tons),ER.FSH.PROD.MT,22106,25625,27752,28403,29805,30609,30938,
Bangladesh,BGD,Total fisheries production (metric tons),ER.FSH.PROD.MT,3878324,4134436,4276641,4384219,4503371,4621228.04,4758731,
Bulgaria,BGR,Total fisheries production (metric tons),ER.FSH.PROD.MT,24431.98,24127.79,24512.9,26830.44,21347.59,24182.89,15105.16,
Bahrain,BHR,Total fisheries production (metric tons),ER.FSH.PROD.MT,17314.21,18520.95,21092.05,18315.97,17248,17051.02,19892.55,
"Bahamas, The",BHS,Total fisheries production (metric tons),ER.FSH.PROD.MT,11634,11485.94,11005.53,10151.91,7439.16,8705.85,9346.22,
Bosnia and Herzegovina,BIH,Total fisheries production (metric tons),ER.FSH.PROD.MT,4908.6,4105.4,3983.8,4302.4,4120.8,4163.6,4264.9,
Belarus,BLR,Total fisheries production (metric tons),ER.FSH.PROD.MT,11887.3,11126.8,12381.3,10252.7,10205.38,9116.13,7520.4,
Belize,BLZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,92575.52,121924.06,217532.04,214565.32,187468.89,192113.13,205894.24,
Bermuda,BMU,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Bolivia,BOL,Total fisheries production (metric tons),ER.FSH.PROD.MT,10430,10680,11150,11725,11220,11453,,
Brazil,BRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1269588.96,1297727.44,1307036.09,1334878.88,1361646.13,1419484.76,1497393,
Barbados,BRB,Total fisheries production (metric tons),ER.FSH.PROD.MT,1760.98,1765.04,1757.46,900.24,1059.25,867.07,857.04,
Brunei Darussalam,BRN,Total fisheries production (metric tons),ER.FSH.PROD.MT,14239.63,13496,14811.99,14623.57,16591.07,20062.92,21080,
Bhutan,BTN,Total fisheries production (metric tons),ER.FSH.PROD.MT,197,238,223.62,209.77,181.5,194.1,199.88,
Botswana,BWA,Total fisheries production (metric tons),ER.FSH.PROD.MT,53,58,63,73,179,201,209,
Central African Republic,CAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,29195,29190,29204,29204,27704,28210,29215,
Canada,CAN,Total fisheries production (metric tons),ER.FSH.PROD.MT,1087523.97,1045716.16,1045463.69,1040635.66,935145.97,944369.17,870639.83,
Central Europe and the Baltics,CEB,Total fisheries production (metric tons),ER.FSH.PROD.MT,751686.06,707320.53,699930,711868.27,679416.39,667846.97,649552.9,
Switzerland,CHE,Total fisheries production (metric tons),ER.FSH.PROD.MT,3584,3665,3396,3740.44,3844.03,3849.93,3985.93,
Channel Islands,CHI,Total fisheries production (metric tons),ER.FSH.PROD.MT,4484.65,4108.2,4669.6,4428.2,3180.72,3332.51,3480,
Chile,CHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,2876719.41,3554763.22,3658914.81,3787588.99,3688721.13,3834716.59,4214240.49,
China,CHN,Total fisheries production (metric tons),ER.FSH.PROD.MT,78337639.43,79935166.11,80966168.45,82593752.45,83929521.5,85948133.98,88567716.02,
Cote d'Ivoire,CIV,Total fisheries production (metric tons),ER.FSH.PROD.MT,108944.32,99748.74,113787.03,115014.87,80009.14,109992.91,106143.34,
Cameroon,CMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,235505,270592,287453,303861.82,290138,300138,309153,
"Congo, Dem. Rep.",COD,Total fisheries production (metric tons),ER.FSH.PROD.MT,240598,241580,241880,242290,222440,233860,,
"Congo, Rep.",COG,Total fisheries production (metric tons),ER.FSH.PROD.MT,87477,95727,99374,71080.84,71537.35,70330,65110.79,
Colombia,COL,Total fisheries production (metric tons),ER.FSH.PROD.MT,176066,206746.5,214337.22,283097.95,271273.45,322551.18,312511.99,
Comoros,COM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Cabo Verde,CPV,Total fisheries production (metric tons),ER.FSH.PROD.MT,27938.73,18617,26593.23,17195.32,19507.25,11651.87,7793.94,
Costa Rica,CRI,Total fisheries production (metric tons),ER.FSH.PROD.MT,33988.61,33622.83,36377.57,39814.97,42948.32,46907.39,50441.11,
Caribbean small states,CSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,320518.33,387552.31,353483.21,334742.29,302504.19,304080.65,321345.44,
Cuba,CUB,Total fisheries production (metric tons),ER.FSH.PROD.MT,52759,52758,51249,45468.3,46096.2,40717.4,29923.9,
Curacao,CUW,Total fisheries production (metric tons),ER.FSH.PROD.MT,35534.66,32626.13,37911.03,29213.84,23051.82,25027.24,8826.8,
Cayman Islands,CYM,Total fisheries production (metric tons),ER.FSH.PROD.MT,135,135,135,204,207,210,213,
Cyprus,CYP,Total fisheries production (metric tons),ER.FSH.PROD.MT,8118.86,9031.11,8837.05,9638.34,8669.87,9263.59,8894.92,
Czechia,CZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,24459,25242,25401,24707,24130,24305,22640,
Germany,DEU,Total fisheries production (metric tons),ER.FSH.PROD.MT,312986,284216,313409,265150.8,244352.57,220301.27,206266,
Djibouti,DJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Dominica,DMA,Total fisheries production (metric tons),ER.FSH.PROD.MT,815,784,762,860.4,527.1,289.47,292.5,
Denmark,DNK,Total fisheries production (metric tons),ER.FSH.PROD.MT,706560,941987,825635,678639.49,775529.39,507002.33,496114.2,
Dominican Republic,DOM,Total fisheries production (metric tons),ER.FSH.PROD.MT,16735.68,18363.54,16929.42,19231.01,17494.13,21416.88,21760,
Algeria,DZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,101964.45,108342.63,120166.41,105388.57,76954.71,83979.29,85998,
East Asia & Pacific (excluding high income),EAP,Total fisheries production (metric tons),ER.FSH.PROD.MT,122028131.91,124549634.3,126161759.1,127757552.75,128615528.29,129849873.74,132464361.14,
Early-demographic dividend,EAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,61275702.07,63752502.68,68391330.78,66795438.59,66924724.25,68914735.2,68318781.57,
East Asia & Pacific,EAS,Total fisheries production (metric tons),ER.FSH.PROD.MT,131607842.23,134536316.89,136298377.13,137804179.03,138496058.31,139808586.24,138230416.14,
Europe & Central Asia (excluding high income),ECA,Total fisheries production (metric tons),ER.FSH.PROD.MT,5907228.89,6185561.48,6507837.25,6722169.83,6769710,6919749.04,6789560.56,
Europe & Central Asia,ECS,Total fisheries production (metric tons),ER.FSH.PROD.MT,17741353.7,19058974.14,19299255.14,18690121.12,18611359.8,18755161.37,18002738.75,
