Country Name,Country Code_x,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,Unnamed: 6,Indicator name:,Country Code_y,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,World Development Indicators
Angola,AGO,0.005,0.087803663,2019.0,ER.MRN.PTMR.ZS,,Marine protected areas (% of territorial waters),AGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,487145.0,532914.0,444858.0,401696.0,376515.0,531522.0,471672.0,,,
Albania,ALB,2.839,0.159782247,,,,,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,12612.09,12993.2,14906.3,15011.5,16711.16,18282.5,17551.5,,,
United Arab Emirates,ARE,11.27,0.001429362,,,,,ARE,Total fisheries production (metric tons),ER.FSH.PROD.MT,75971.9,78542.0,78845.0,75357.0,74435.78,70606.94,69034.96,,,
Argentina,ARG,11.768,0.422376457,,,,,ARG,Total fisheries production (metric tons),ER.FSH.PROD.MT,758899.48,838628.76,838592.31,828687.19,839673.99,856252.8,853774.74,,,
Antigua and Barbuda,ATG,0.182,0.000204195,,,,,ATG,Total fisheries production (metric tons),ER.FSH.PROD.MT,3185.0,3185.0,3185.0,3185.0,3135.0,3225.0,3250.0,,,
Australia,AUS,40.559,0.003267113,,,,,AUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,264180.41,249987.44,267244.82,257007.49,279170.58,289687.29,290289.75,,,
Belgium,BEL,36.653,0.003471308,,,,,BEL,Total fisheries production (metric tons),ER.FSH.PROD.MT,27014.0,24724.0,23116.0,21436.0,20162.8,18160.0,18953.0,,,
Benin,BEN,0.0,0.167337446,,,,,BEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,54133.0,52852.66,60223.14,79377.35,77101.91,78765.0,80655.0,,,
Burkina Faso,BFA,9.79,0.0,,,,,BFA,Total fisheries production (metric tons),ER.FSH.PROD.MT,22106.0,25625.0,27752.0,28403.0,29805.0,30609.0,30938.0,,,
Bangladesh,BGD,5.357,2.515677038,,,,,BGD,Total fisheries production (metric tons),ER.FSH.PROD.MT,3878324.0,4134436.0,4276641.0,4384219.0,4503371.0,4621228.04,4758731.0,,,
Bulgaria,BGR,8.109,0.000714681,,,,,BGR,Total fisheries production (metric tons),ER.FSH.PROD.MT,24431.98,24127.79,24512.9,26830.44,21347.59,24182.89,15105.16,,,
Bahrain,BHR,1.242,0.0,,,,,BHR,Total fisheries production (metric tons),ER.FSH.PROD.MT,17314.21,18520.95,21092.05,18315.97,17248.0,17051.02,19892.55,,,
Bosnia and Herzegovina,BIH,0.0,0.000612584,,,,,BIH,Total fisheries production (metric tons),ER.FSH.PROD.MT,4908.6,4105.4,3983.8,4302.4,4120.8,4163.6,4264.9,,,
Belize,BLZ,10.079,0.038184384,,,,,BLZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,92575.52,121924.06,217532.04,214565.32,187468.89,192113.13,205894.24,,,
Brazil,BRA,26.624,3.859175176,,,,,BRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1269588.96,1297727.44,1307036.09,1334878.88,1361646.13,1419484.76,1497393.0,,,
