Entity,Code,Year,Share of global plastics emitted to ocean
Africa,,2019,7.98931654
Albania,ALB,2019,0.159782247
Algeria,DZA,2019,0.589509708
Angola,AGO,2019,0.087803663
Antigua and Barbuda,ATG,2019,0.000204195
Argentina,ARG,2019,0.422376457
Asia,,2019,80.99356991
Australia,AUS,2019,0.003267113
Bahamas,BHS,2019,0.002041946
Bahrain,BHR,2019,0
Bangladesh,BGD,2019,2.515677038
Barbados,BRB,2019,0.004594378
Belgium,BEL,2019,0.003471308
Belize,BLZ,2019,0.038184384
Benin,BEN,2019,0.167337446
Bosnia and Herzegovina,BIH,2019,0.000612584
Brazil,BRA,2019,3.859175176
Brunei,BRN,2019,0.013681036
Bulgaria,BGR,2019,0.000714681
Burkina Faso,BFA,2019,0
Cambodia,KHM,2019,0.113634275
Cameroon,CMR,2019,1.0894801
Canada,CAN,2019,0.024299153
Cape Verde,CPV,2019,0
Chile,CHL,2019,0.032875325
China,CHN,2019,7.218992545
Colombia,COL,2019,0.044003929
Comoros,COM,2019,0
Congo,COG,2019,0.069017763
Costa Rica,CRI,2019,0.045943777
Cote d'Ivoire,CIV,2019,0.488433399
Croatia,HRV,2019,0.022869791
Cyprus,CYP,2019,0.000306292
Democratic Republic of Congo,COD,2019,0.042880859
Denmark,DNK,2019,0.000918876
Djibouti,DJI,2019,0.000408389
Dominica,DMA,2019,0.005411156
Dominican Republic,DOM,2019,0.640762544
EU-27,,2019,0.220223838
East Timor,TLS,2019,0.072999557
Ecuador,ECU,2019,0.115982513
Egypt,EGY,2019,0.252282385
El Salvador,SLV,2019,0.082494604
Equatorial Guinea,GNQ,2019,0.041349399
Eritrea,ERI,2019,0.00490067
Estonia,EST,2019,0.001225167
Europe,,2019,0.595431351
Fiji,FJI,2019,0.037265508
Finland,FIN,2019,0
France,FRA,2019,0.023992861
French Guiana,GUF,2019,0.000714681
Gabon,GAB,2019,0.045433291
Gambia,GMB,2019,0.042982956
Georgia,GEO,2019,0.000306292
Germany,DEU,2019,0.013681036
Ghana,GHA,2019,0.427277127
Greece,GRC,2019,0.022053013
Grenada,GRD,2019,0.013272647
Guadeloupe,GLP,2019,0.000408389
Guatemala,GTM,2019,0.729178791
Guinea,GIN,2019,0.239622322
Guinea-Bissau,GNB,2019,0.025218029
Guyana,GUY,2019,0.127213214
Haiti,HTI,2019,0.70743207
Honduras,HND,2019,0.24870898
Hong Kong,HKG,2019,0.011434896
Iceland,ISL,2019,0
India,IND,2019,12.91663349
