id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
10431,2022-03-21,"Tug Vessel Loses Power, Grounds, and Leaks Diesel in Neva Strait, Sitka, AK","Neva Strait, Sitka, AK",57.27000000000001,-135.59333,Oil,,,,,,,,,0,"At approximately 0400 on 21-Mar02922, the tug vessel Western Mariner lost power in Neva Straits, north of Sitka Sound, and was forced aground via contact from its tow barge Chichagos Provider. The Western Mariner has a total capacity for 45000 gallons of diesel. It is unknown how much fuel was onboard at the time of the grounding.  The vessel is leaking diesel. MSD Sitka is requesting and trajectory and fates analysis for the leaking diesel."
10430,2022-03-17,"Compromised Fuel Transfer Pipe Spills Oil into Oswego New York Harbor, Oswego, NY","Oswego, NY",43.45940999999999,-76.53165,Oil,,,,,,,,,0,"On March 17, 2022, NOAA ERD was notified by Miller Environmental Group of a fuel transfer pipe casualty resulting in the release of #6 Fuel oil in the Oswego New York Harbor. The estimated release is 1200-1500 gallons. The spill was initially observed on March 8th, source is speculated to be from a transfer pipe between the power facility storage tanks and day tanks underground. The pipe has been compromised resulting in oil releasing through a storm drain into the harbor. The transfer pipe has been secured, the containment boom significantly reduced flow into Lake Ontario, the storm drain has been plugged."
10429,2022-03-16,"Floating Humpback Whale Carcass off of Carolina Beach, NC","Carolina Beach, NC, USA",34.031322850826186,-77.83034311607479,Other,,,,,,,,,0,"On March 16, 2022, the Gulf of Mexico Marine Mammal Disaster Response Coordinator notified the NOAA SSC about a floating Humpback Whale carcass floating offshore of Carolina Beach, North Carolina. The Response Coordinator requested a trajectory to possibly determine the likelihood of this carcass coming ashore."
10428,2022-03-15,Containership Grounded off Gibson Island in Chesapeake Bay,"Gibson Island, MD, USA",39.07,-76.41,Oil,,,,,,,,,2,"On 15 March 2022, USCG Sector Maryland NCR notified the NOAA SSC that at approximately 9:00pm on Sunday, 13 March the Ever Forward, a containership grounded off of Gibson Island in the Chesapeake Bay. The vessel has remained stranded since then. The ship is outside the main shipping channel. There is no damage, injuries or pollution at this time."
10426,2022-03-14,"Oil Pipeline Discharge into Cahokia Canal, Edwardsville, IL","Cahokia Canal,  Edwardsville, IL",38.82403399999998,-89.9746,Oil,,,,,,,,,0,"On March 14, 2022, USEPA Region 5 contacted the NOAA SSC regarding a 3,000 barrel oil pipeline discharge into the Cahokia Canal (trib to Miss River) near Edwardsville, IL on 11 MAR.  USEPA requested spot forecast and any available information on forecasted water levels. NOAA SSC requested spot forecast from NWS St. Louis and provided links and synopsis of water gauges."
10424,2022-03-07,"Ballast Water Tank Contaminated with Acetic Acid, Galveston, TX","Galveston, TX",29.308055560000014,-94.80305556,Chemical,,Glacial Acetic Acid,,,,,,8000,0,"On March 7, 2022, the USCG Marine Safety Unit (MSU) Texas City contacted the NOAA SSC regarding the potential ecological impacts of allowing the discharge of ballast water contaminated with acetic acid offshore of Galveston, Texas.  T/V Orchid Madeira experienced a loss of cargo hold integrity, allowing ~8,000 gallons of glacial acetic acid into a ballast water tank.  On-site marine chemist advised an over-the-top transfer would exceed IDHL. The alternative proposed is to discharge contaminated ballast water 12 miles offshore while underway at 7 knots.  Phone support provided."
10423,2022-03-02,"Ethanol Release in Port of Palm Beach, FL","Riviera Beach, FL, USA",26.768562000000017,-80.04970000000002,Other,,,,,,,,,0,"Om March 2, 2022, the USCG notified the NOAA SSC that approximately 6500 gallons of ethanol had spilled in the Port of Palm Beach Florida. Discussions with the State of Florida SSC provided that the Department of Environmental Protection had confirmed the ethanol was a food grade product. The SSC was asked to provide information pertaining to the fate and effects of the product, any resource concerns and potential movement of the product following the spill."
10422,2022-02-24,"Barge Carrying Styrene Grounded on Tombigbee River, Pickensville, AL","Pickensville, AL, USA",33.25459727843288,-88.30468003205245,Chemical,,,,,,,,,0,"On February 24, 2022, the USCG Sector Mobile notified the SSC of an incident involving a barge carrying 17,700 barrels of styrene. The barge is reportedly grounded near mile marker 310 on the Tombigbee River. USCG is requesting support on hazard analysis."
10421,2022-02-22,"Commercial Fishing Tender Sinks in Sumner Strait, Prince of Wales Island, AK","Prince of Wales Island, AK",56.29374999999999,-133.6983,Oil,,,,,,,,,0,"On 20-Feb-2022, the commercial fishing tender FV Emerald Beauty sank in Sumner Strait in 91 fathoms of water.  The fishing vessel had between 400-600 gallons of diesel onboard, with a maximum potential of 1500 gallons.  Sheen was observed on the water surface during an overflight on 22-Feb at the sinking location. MDF Ketchikan has requested a fates and trajectory analysis, and potential resources at risk."
10420,2022-02-16,"Gasoline Tank Truck Spill, Long Island, NY","80 Merrick Rd, Rockville Centre, NY 11570, USA",40.6571431408542,-73.65446090348995,Oil,,Gasoline,,,,,,11000,2,"On February 16, 2022, the USCG Sector Long Island Sound contacted the Mid-Atlantic NOAA SSC about a gasoline tanker truck that was involved in an accident in East Rockaway, NY and was involved in a major fire. The truck was carrying approximately 11,000 gallons of gasoline and an unknown quantity of fuel from the tanker had spilled into a nearby drain. The USCG requested fate analysis and assistance from NOAA."
10419,2022-02-15,"Abandoned Well Discharging Gas and Condensate, East Cameron, Offshore Louisiana",Offshore Lousiana,29.64388889,-92.89,Oil,,,,,,,,,0,"On February 15, 2022, the USCG Marine Safety Unit (MSU) Lake Charles contacted NOAA SSC about an abandoned well that was discharging gas and condensate.  The amount being discharged is unknown. A silvery sheen of approximately 1 mile in length was reported.  MSU LKC requested information about the fate and effects of condensate, NOAA SSC provided information over the phone.  A CG field team is investigating."
10418,2022-02-11,Satellite Imagery Detects Oil Anomaly at Inactive Well Platform 55 Miles Offshore Louisiana,55 miles offshore LA (GOM),28.27507,-91.0929,Oil,,oil and completion fluids,0,,,,,,0,"On February 11, 2022, the NOAA SSC received a Marine Pollution Surveillance Report (MPSR) for the Ship Shoal 291 area (offshore lease block in the Gulf of Mexico) indicating an oil anomaly of approximately 24.18 square kilometers.  The slick was emanating from an oil facility later determined to be associated with the Mon Forte Exploration facility (unmanned, inactive well platform)."
10416,2022-02-10,"Ongoing Air Discharge from Chemical Plant due to Power Outage, Westlake, LA","Westlake, LA",30.249722219999967,-93.28749999999998,Chemical,,"tri-, tetra-, pentachloroethanes",,,,,,,0,"On February 10, 2022, MSU Lake Charles notified NOAA SSC about an ongoing air discharge at Westlake Chemicals, due to a power outage (NRC# 1328587, 1328589).  Release is tri-, tetra-, and pentachloroethanes.  Plant has evacuated all but essential personnel.  MSULKC requested information about the chemicals in the release, including evacuation distances and vapor density.  CAMEO chemical report and weather forecast provided."
10415,2022-02-08,"Discharge of Crude Oil at Liquid Oxygen Plant, Mud Lake, LA","Mud Lake, LA",29.483888890000003,-89.99388889,Oil,,oil,1,,,,,420,0,"On 8 FEB 2022, the NOAA SSC was contacted by the USCG Sector New Orleans regarding a discharge of crude oil from a 400 barrel tank in the vicinity of Mud Lake that occurred on 4 FEB 2022.  The total discharge amount was estimated to be between 5bbls and 10 bbls with 3-5 bbls outside of containment in the waterway and marsh.  An overflight on February 8 showed an area of dark oil around the facility and partial loss of containment with one streamer of dark oil outside of containment. The USCG  requested a trajectory for oil discharged outside of containment and resources at risk."
10417,2022-02-08,"Discharge of Crude Oil from Transfer Pipeline, Southwest Pass Area, LA","SW Pass, Mississippi River Delta",29.037500000000023,-89.28138889,Oil,,,,,,,,,0,"On February 8, 2022, the NOAA Regional Response Officer (RRO) was contacted by USCG Sector New Orleans regarding a discharge of crude oil from a transfer pipeline in the vicinity of Southwest Pass.  The discharge was discovered when the responsible party (RP) was assessing repairs to the pipeline and noticed an oil sheen. The estimated total discharge is 26 gallons. The location is outside of Louisiana wildlife managed areas and in open water. The NOAA SSC provided verbal resources at risk analysis. The pipeline is reported secured and no further action is required at this time."
10413,2022-02-04,"Tug Sea Eagle aground Deerfield Beach, FL","Deerfield Beach, FL",26.31649783128435,-80.07458209991455,Oil,,,,,,,,,0,"On February 4, 2022, the USCG contacted the SSC with notification that a tug was aground at the pier at Deerfield Beach FL. The vessel has 10000 gallons of diesel fuel aboard. Resolve, a local contract salver is responding and hopes to remove fuel from the vessel. USCG requested the fate and properties of the oil in case of a release."
10414,2022-02-03,"Pipeline Chronic Release on Stock Island, Key West, FL","Key West, FL",24.57288472306398,-81.75021171569824,Oil,,,,,,,,,0,USCG contacted the SSC on 3 Feb 2022 for support in the cleanup of oil sheening off rip rap and seawalls on Stock Island in the FL Keys that resulted from a pipeline release.
10412,2022-02-02,"Fishing Vessel Fire at Ilwaco Marina, WA","Ilwaco Marina, WA",46.30579,-124.03769999999999,Oil,,diesel,,,,,,,0,"On 02/02/2022 at 2226 PT USCG Sector Columbia River notified the NOAA SSC that the 48’ fishing vessel West Wind caught fire at slip J7, Ilwaco Marina, WA. There is a maximum potential of 600 gallons of diesel, the vessel is not boomed, there is no release at this time. The Fire Department was on the scene immediately, the fire is secure, USCG has not requested any NOAA products or support at this time."
10411,2022-02-01,"Sunken Fishing Vessel Leaking Diesel Off Coast of Marshfield, MA","Scituate, MA, USA",42.15333333000004,-70.68783333,Oil,,Marine Diesel,,,,,,1000,3,"On February 2, 2022, the USCG Sector Boston notified the NOAA SSC of a sunken fishing vessel approximately 1 nm off the coast of Marshfield, MA. An estimated 2,000 gallons of diesel was on board when the vessel sank.  A USCG overflight showed a visible sheen approximately 1/2mile in length. Sector Boston has requested a trajectory."
10410,2022-01-28,"Small Spill from Recreational Vessel near Bay St Louis, MS","Bay St Louis, MS",30.332476000000028,-89.394576,Oil,,,,,,,,,0,"On 28 JAN 2022, USCG Sector Mobile contacted the NOAA SSC regarding a minor discharge of diesel from a recreational vessel (35ft cabin cruiser) in Breath Bayou near Bay St. Louis, MS. USCG was notified of the incident after MDEQ (state) discovered and boom off the vessel. The vessel has subsequently been refloated and towed offsite. No further action planned or support is requested at this time."
10409,2022-01-28,"Vessel Grounding, Ocracoke, NC","Ocracoke, NC",35.066740000000024,-76.00117,Oil,,,,,,,,,0,"On January 28, 2020, the USCG Sector North Carolina notified the NOAA SSC that the ""VIVENS AQUA, a 55 ft yacht grounded on the south point of Ocracoke Island, North Carolina. The vessel contains over 700 gallons of diesel fuel onboard. No pollution reported at this time. CG requested a trajectory model and informal ESA coordination."
10407,2022-01-20,"Fire and Diesel Spill from Recreational Fishing Vessel, Navesink River, Red Bank, NJ","Red Bank, NJ",40.35463082113765,-74.06437985569936,Oil,,Diesel Fuel,1,0,,,,100,0,"At 9:30 pm on 20 January 2022, USCG Sector New York notified ERD about a fire onboard a 43-foot recreational fishing vessel that was docked at Irwin Marine, Red Bank, NJ. CG reported that the vessel had approximately 500 gallons of diesel fuel onboard when the fire started and that as much as 100-200 gallons of diesel fuel were released into the Navesink River. USCG requested a trajectory."
10408,2022-01-19,"Oil Spill near Lima, Peru","Lima, Peru",-11.92048100000001,-77.14269899999998,Oil,Pipeline|Tsunami,Buzios Crude (from Brazil),1,1,0,,,499800,11,"On January 15, 2022, an oil spill occurred during offloading from the Italian tanker Mare Doricum to the REPSOL-operated La Pampilla refinery submarine terminal #2. Source of the spill was a broken manifold on the underwater pipeline. Cause of the break is still under investigation. An estimated 11,900 barrels (updated) of Buzios crude oil (from Brazil) was spilled. ERD deployed two Scientific Support Coordinators to represent NOAA on the nine-person U.S. National Response Team delegation that went to Peru. Other members of the US team included six from the United States Coast Guard and one from the Fish & Wildlife Service. The mission was to support the Government of Peru with satellite analysis, oil trajectory predictions, oil spill remediation techniques, oiled wildlife response and emergency management."
