Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.000105156683687689,0.000105156683687689,0.000105,0.000105,0.000105157,0.0001052,
Africa Eastern and Southern,AFE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.94569027956894,4.94568706077219,5.23588024426614,5.03656369796849,5.04051231712238,,
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Africa Western and Central,AFW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Angola,AGO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.00492982714246822,0.00492982714246822,0.00493,0.00493,0.004929823,0.0049298,
Albania,ALB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.71803297867369,2.71803297867369,2.839279,2.839279,2.839279175,2.8392792,
Andorra,AND,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Arab World,ARB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.06190907511517,4.06190907511517,4.06265755043518,3.64326352548187,3.64766252861276,,
United Arab Emirates,ARE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,11.2703538609644,11.2703538609644,11.27034,11.48045,11.48044777,11.4804478,
Argentina,ARG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.79699243606319,3.79699243606319,11.76767,11.76653,11.76652527,11.767086,
Armenia,ARM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
American Samoa,ASM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.71587580537483,8.71587580537483,8.715876,0.002208,8.723742485,8.7237425,
Antigua and Barbuda,ATG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.181504473350006,0.181504473350006,0.181504,0.299509,0.299942076,0.2999421,
Australia,AUS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,40.5594116036044,40.5594116036044,40.55941,40.84466,44.33663559,44.3366356,
Austria,AUT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Azerbaijan,AZE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.436929518301171,0.436929518301171,0.436929,0.436929,0.436928868,0.4369289,
Burundi,BDI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Belgium,BEL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,36.6552430210351,36.6552430210351,36.65342,36.65342,36.65341568,38.0590172,
Benin,BEN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,
Burkina Faso,BFA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Bangladesh,BGD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5.35719019951986,5.35719019951986,5.356943,5.356943,5.356942654,5.3569427,
Bulgaria,BGR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.10330994468942,8.10330994468942,8.10862,8.108338,8.108338356,8.1083384,
Bahrain,BHR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.24223918679232,1.24223918679232,1.242278,1.242278,1.242277741,21.1257343,
"Bahamas, The",BHS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7.92288620534516,7.92288620534516,7.922884,7.922884,7.922884464,7.9228845,
Bosnia and Herzegovina,BIH,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,
Belarus,BLR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Belize,BLZ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,10.0788752290615,10.0788752290615,10.07892,11.01918,11.01918316,11.0191832,
Bermuda,BMU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5.64206970825242E-05,5.64206970825242E-05,0.000056,0.000056,0.0000564,0.0000564,
Bolivia,BOL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Brazil,BRA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,26.6241067049733,26.6241067049733,26.6241,26.82149,26.82148552,26.8214855,
Barbados,BRB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.00584651219433888,0.00584651219433888,0.005578,0.005578,0.005578455,0.0055785,
Brunei Darussalam,BRN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.201102067315263,0.201102067315263,0.201099,0.201099,0.2010988,0.2010988,
Bhutan,BTN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Botswana,BWA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Central African Republic,CAF,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Canada,CAN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.871881853190504,0.871881853190504,2.907388,8.784922,8.857775688,9.0630465,
Central Europe and the Baltics,CEB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,20.9487757841186,19.199308509922,20.9503523320477,18.8849260930773,18.8845986620575,,
Switzerland,CHE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Channel Islands,CHI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Chile,CHL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,28.814450666394,28.814450666394,41.19151,41.32516,41.32516098,41.3541069,
China,CHN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5.40683189597192,5.40683189597192,5.406831,5.479009,5.479008675,5.4790087,
