Country Name,Country Code,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,,Indicator name:
Angola,AGO,0.005,0.087803663,2019,ER.MRN.PTMR.ZS,,Marine protected areas (% of territorial waters)
Albania,ALB,2.839,0.159782247,,,,
United Arab Emirates,ARE,11.270,0.001429362,,,,
Argentina,ARG,11.768,0.422376457,,,,
Antigua and Barbuda,ATG,0.182,0.000204195,,,,
Australia,AUS,40.559,0.003267113,,,,
Belgium,BEL,36.653,0.003471308,,,,
Benin,BEN,0.000,0.167337446,,,,
Burkina Faso,BFA,9.790,0,,,,
Bangladesh,BGD,5.357,2.515677038,,,,
Bulgaria,BGR,8.109,0.000714681,,,,
Bahrain,BHR,1.242,0,,,,
Bosnia and Herzegovina,BIH,0.000,0.000612584,,,,
Belize,BLZ,10.079,0.038184384,,,,
Brazil,BRA,26.624,3.859175176,,,,
Barbados,BRB,0.006,0.004594378,,,,
Canada,CAN,2.907,0.024299153,,,,
Chile,CHL,41.192,0.032875325,,,,
China,CHN,5.407,7.218992545,,,,
Cote d'Ivoire,CIV,0.075,0.488433399,,,,
Cameroon,CMR,11.463,1.0894801,,,,
Colombia,COL,17.061,0.044003929,,,,
Comoros,COM,0.023,0,,,,
Costa Rica,CRI,2.614,0.045943777,,,,
Cyprus,CYP,0.123,0.000306292,,,,
Germany,DEU,45.380,0.013681036,,,,
Djibouti,DJI,0.168,0.000408389,,,,
Dominica,DMA,0.035,0.005411156,,,,
Denmark,DNK,17.920,0.000918876,,,,
Dominican Republic,DOM,17.958,0.640762544,,,,
Algeria,DZA,0.085,0.589509708,,,,
Ecuador,ECU,13.346,0.115982513,,,,
Eritrea,ERI,0.000,0.00490067,,,,
Spain,ESP,12.688,0.023992861,,,,
Estonia,EST,18.635,0.001225167,,,,
Finland,FIN,12.111,0,,,,
Fiji,FJI,0.925,0.037265508,,,,
France,FRA,48.929,0.023992861,,,,
Gabon,GAB,28.827,0.045433291,,,,
United Kingdom,GBR,29.163,0.07177439,,,,
Georgia,GEO,0.668,0.000306292,,,,
Ghana,GHA,0.097,0.427277127,,,,
Guinea,GIN,0.530,0.239622322,,,,
Guinea-Bissau,GNB,10.009,0.025218029,,,,
Equatorial Guinea,GNQ,0.235,0.041349399,,,,
Greece,GRC,4.518,0.022053013,,,,
Grenada,GRD,0.086,0.013272647,,,,
Guatemala,GTM,0.900,0.729178791,,,,
Guyana,GUY,0.019,0.127213214,,,,
Honduras,HND,4.157,0.24870898,,,,
Croatia,HRV,8.541,0.022869791,,,,
Haiti,HTI,1.464,0.70743207,,,,
Indonesia,IDN,3.057,5.751446208,,,,
